Year,County,Retail_sum,Index_Total_sum,Violent_Total_sum,Murder_sum,Rape_sum,Robbery_sum,Aggravated_Assault_sum,Property_Total_sum,Burglary_sum,Larceny_sum,Motor_Vehicle_Theft_sum,Region,Crime_Rate_Change,FFR,Population_Estimate,FFRPopulation,Crimepopulation,retailpop
2011,Lewis,42,838,66,2,8,6,50,772,246,466,60,Non-New York City,Stable,12,27023,2252,32,643.4047619047619
2011,Livingston,72,2148,88,2,20,2,64,2060,306,1718,36,Non-New York City,Stable,38,64844,1706,30,900.6111111111111
2011,Madison,89,2570,106,0,26,10,70,2464,512,1900,52,Non-New York City,Stable,41,72879,1778,28,818.8651685393259
2011,Monroe,713,51332,5322,80,304,1934,3004,46010,10066,33840,2104,Non-New York City,Stable,534,746711,1398,15,1047.2805049088358
2011,Montgomery,86,2168,118,0,8,36,74,2050,408,1598,44,Non-New York City,Stable,35,49901,1426,23,580.2441860465116
2011,Nassau,1143,38748,4452,46,126,2148,2132,34296,5568,26628,2100,Non-New York City,Stable,1165,1346176,1156,35,1177.7567804024497
2011,New York,1891,50858,9021,71,288,3648,5014,41837,3082,37856,899,New York City,Stable,2481,1608215,648,32,850.4574299312533
2011,Niagara,243,14464,1620,10,128,460,1022,12844,3212,9044,588,Non-New York City,Stable,140,215709,1541,15,887.6913580246913
2011,Oneida,316,11878,1102,14,74,260,754,10776,2466,8008,302,Non-New York City,Stable,136,234203,1722,20,741.1487341772151
2011,Onondaga,532,25724,3312,28,226,928,2130,22412,5262,16150,1000,Non-New York City,Stable,366,467571,1278,18,878.8928571428571
2011,Ontario,129,4206,300,0,48,74,178,3906,820,3004,82,Non-New York City,Stable,88,108581,1234,26,841.7131782945736
2011,Orange,429,18016,2032,18,118,786,1110,15984,2818,12692,474,Non-New York City,Stable,251,374125,1491,21,872.0862470862471
2011,Orleans,51,2008,164,4,18,26,116,1844,454,1334,56,Non-New York City,Stable,18,42634,2369,21,835.9607843137255
2011,Oswego,122,6434,362,4,56,44,258,6072,1306,4562,204,Non-New York City,Stable,74,121967,1648,19,999.7295081967213
2011,Otsego,98,2292,238,2,12,24,200,2054,504,1502,48,Non-New York City,Stable,36,61964,1721,27,632.2857142857143
2011,Putnam,91,1720,132,2,6,16,108,1588,356,1196,36,Non-New York City,Stable,62,99816,1610,58,1096.8791208791208
2011,Queens,2535,39863,10311,82,221,4057,5951,29552,4815,21588,3149,New York City,Stable,1739,2255559,1297,57,889.7668639053254
2011,Rensselaer,199,9376,970,2,84,256,628,8406,2306,5802,298,Non-New York City,Stable,114,159572,1400,17,801.8693467336683
2011,Richmond,510,6801,1428,16,32,398,982,5373,723,4310,340,New York City,Stable,298,471001,1581,69,923.5313725490196
2011,Rockland,312,9310,1128,6,66,334,722,8182,1068,6900,214,Non-New York City,Stable,258,315439,1223,34,1011.0224358974359
2011,Saratoga,231,6150,264,4,36,40,184,5886,1004,4766,116,Non-New York City,Stable,57,112268,1970,18,486.008658008658
2011,Schenectady,197,11058,1374,8,86,438,842,9684,2290,6962,432,Non-New York City,Stable,167,221088,1324,20,1122.274111675127
2011,Schoharie,56,866,30,0,6,2,22,836,244,566,26,Non-New York City,Stable,119,154856,1301,179,2765.285714285714
2011,Schuyler,31,344,36,0,10,0,26,308,64,230,14,Non-New York City,Stable,15,32621,2175,95,1052.2903225806451
2011,Seneca,49,1362,126,2,14,8,102,1236,224,976,36,Non-New York City,Stable,11,18402,1673,14,375.55102040816325
2011,St Lawrence,143,5030,286,4,42,20,220,4744,1070,3584,90,Non-New York City,Stable,19,35314,1859,7,246.95104895104896
2011,Steuben,134,3374,276,4,54,34,184,3098,628,2394,76,Non-New York City,Stable,48,99145,2066,29,739.8880597014926
2011,Suffolk,1649,62812,4434,64,126,1636,2608,58378,10216,45614,2548,Non-New York City,Stable,1226,1498838,1223,24,908.9375379017587
2011,Sullivan,153,3880,402,4,40,52,306,3478,1098,2292,88,Non-New York City,Stable,58,77047,1328,20,503.57516339869284
2011,Tioga,50,1182,68,0,10,6,52,1114,298,780,36,Non-New York City,Stable,26,50872,1957,43,1017.44
2011,Tompkins,96,4782,182,2,20,46,114,4600,656,3866,78,Non-New York City,Stable,76,101801,1339,21,1060.4270833333333
2011,Ulster,295,7544,670,4,86,130,450,6874,1504,5194,176,Non-New York City,Stable,142,182430,1285,24,618.4067796610169
2011,Warren,128,2988,214,6,38,24,146,2774,452,2270,52,Non-New York City,Stable,68,65733,967,22,513.5390625
2011,Washington,77,1732,192,6,30,12,144,1540,372,1134,34,Non-New York City,Stable,39,63074,1617,36,819.1428571428571
2011,Wayne,107,3418,282,0,60,48,174,3136,828,2218,90,Non-New York City,Stable,61,93246,1529,27,871.4579439252336
2011,Westchester,979,32566,5114,42,142,2068,2862,27452,4250,21646,1556,Non-New York City,Stable,762,956265,1255,29,976.7773237997957
2011,Wyoming,46,1056,74,0,10,4,60,982,192,762,28,Non-New York City,Stable,21,41839,1992,40,909.5434782608696
2011,Yates,53,820,26,0,0,0,26,794,218,570,6,Non-New York City,Stable,11,25449,2314,31,480.1698113207547
